ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
90D-har,http://wals.info/languoid/lect/wals_code_har,90D,90,Internally-headed or RelN,,
90D-ngj,http://wals.info/languoid/lect/wals_code_ngj,90D,90,Internally-headed exists,von-Brandenstein-1980[ 31],
90D-tou,http://wals.info/languoid/lect/wals_code_tou,90D,90,Internally-headed relative clause dominant,Prost-1964g[ 285],
90D-nze,http://wals.info/languoid/lect/wals_code_nze,90D,90,Internally-headed exists,Soppitt-1885[ passim],
90D-osa,http://wals.info/languoid/lect/wals_code_osa,90D,90,Internally-headed relative clause dominant,Quintero-1997[ 33],
90D-see,http://wals.info/languoid/lect/wals_code_see,90D,90,Internally-headed occurs as nondominant type,Holmer-1996[ 74-75];Aldridge-2004[ 100],
90D-chg,http://wals.info/languoid/lect/wals_code_chg,90D,90,Internally-headed or RelN,"Hutton-1987[ 16, 48]",
90D-cmr,http://wals.info/languoid/lect/wals_code_cmr,90D,90,Internally-headed relative clause dominant,Lorrain-1951[ 15-16];Savidge-1908[ 11],
90D-way,http://wals.info/languoid/lect/wals_code_way,90D,90,Internally-headed exists,Grenand-1980[ passim],
90D-ath,http://wals.info/languoid/lect/wals_code_ath,90D,90,Internally-headed occurs as nondominant type,"Ebert-1997b[ 108, 144, 145]",
90D-chi,http://wals.info/languoid/lect/wals_code_chi,90D,90,Internally-headed relative clause dominant,,
90D-msn,http://wals.info/languoid/lect/wals_code_msn,90D,90,Internally-headed relative clause dominant,"Ross-1984[ passim, 77]",
90D-yuw,http://wals.info/languoid/lect/wals_code_yuw,90D,90,Internally-headed relative clause dominant,Williams-1980a[ 113-114],
90D-cti,http://wals.info/languoid/lect/wals_code_cti,90D,90,Internally-headed exists,Henderson-1965[ passim],
90D-bel,http://wals.info/languoid/lect/wals_code_bel,90D,90,Internally-headed occurs as nondominant type,Bickel-2003[ 566],
90D-gmw,http://wals.info/languoid/lect/wals_code_gmw,90D,90,Internally-headed or NRel,Olson-1988[ 91-93],
90D-wbn,http://wals.info/languoid/lect/wals_code_wbn,90D,90,Internally-headed or RelN,"de-Vries-1989[ 76-77, 95, 110-111]",
90D-bya,http://wals.info/languoid/lect/wals_code_bya,90D,90,Internally-headed or RelN,"Trivedi-1991[ 149, 151-152, 160-161]",
90D-ser,http://wals.info/languoid/lect/wals_code_ser,90D,90,Internally-headed relative clause dominant,,
90D-mpa,http://wals.info/languoid/lect/wals_code_mpa,90D,90,Internally-headed or NRel,Walsh-1976[ 287],
90D-ao,http://wals.info/languoid/lect/wals_code_ao,90D,90,Internally-headed or RelN,Clark-1893[ 14],
90D-lai,http://wals.info/languoid/lect/wals_code_lai,90D,90,Internally-headed or RelN,Hay-Neave-1953[ passim],
90D-udh,http://wals.info/languoid/lect/wals_code_udh,90D,90,Internally-headed or RelN,Nikolaeva-and-Tolskaya-2001[ 674],
90D-cct,http://wals.info/languoid/lect/wals_code_cct,90D,90,Internally-headed relative clause dominant,Nicklas-1979[ 25],
90D-tja,http://wals.info/languoid/lect/wals_code_tja,90D,90,Internally-headed relative clause dominant,Miller-2001[ 205],
90D-evn,http://wals.info/languoid/lect/wals_code_evn,90D,90,Internally-headed occurs as nondominant type,Benzing-1955[ Malchukov 1996],
90D-res,http://wals.info/languoid/lect/wals_code_res,90D,90,Internally-headed or NRel,"Allin-1976[ 223, 229ff, 230, 231]",
90D-ret,http://wals.info/languoid/lect/wals_code_ret,90D,90,Internally-headed relative clause dominant,Strom-1992[ 48],
90D-wap,http://wals.info/languoid/lect/wals_code_wap,90D,90,Internally-headed relative clause dominant,Li-et-al-1977[ 96];Radin-1929[ 107ff],
90D-die,http://wals.info/languoid/lect/wals_code_die,90D,90,Internally-headed relative clause dominant,Gorbet-1976[ 43ff];Couro-and-Langdon-1975[ 187],
90D-pan,http://wals.info/languoid/lect/wals_code_pan,90D,90,Internally-headed or RelN,Gill-and-Gleason-1963[ passim],
90D-pit,http://wals.info/languoid/lect/wals_code_pit,90D,90,Internally-headed or NRel,Bowe-1990[ 100ff],
90D-baw,http://wals.info/languoid/lect/wals_code_baw,90D,90,Internally-headed or RelN,"Reichle-1981[ 90-103, 139]",
90D-hai,http://wals.info/languoid/lect/wals_code_hai,90D,90,Internally-headed relative clause dominant,Enrico-2003[ 564ff],
90D-nav,http://wals.info/languoid/lect/wals_code_nav,90D,90,Internally-headed relative clause dominant,Speas-1990[ 221-222];Young-and-Morgan-1980[ 56-57],
90D-ika,http://wals.info/languoid/lect/wals_code_ika,90D,90,Internally-headed relative clause dominant,Frank-1990[ 100-101],
90D-ond,http://wals.info/languoid/lect/wals_code_ond,90D,90,Internally-headed relative clause dominant,,
90D-kio,http://wals.info/languoid/lect/wals_code_kio,90D,90,Internally-headed relative clause dominant,Watkins-1984[ 230-233],
90D-kew,http://wals.info/languoid/lect/wals_code_kew,90D,90,Internally-headed or RelN,"Franklin-1971[ 77-78, 92]",
90D-snm,http://wals.info/languoid/lect/wals_code_snm,90D,90,Internally-headed or correlative,Borgman-1990[ 133-144],
90D-epe,http://wals.info/languoid/lect/wals_code_epe,90D,90,Internally-headed relative clause dominant,"Harms-1994[ 14, 166]",
90D-koa,http://wals.info/languoid/lect/wals_code_koa,90D,90,Internally-headed or RelN,Kimball-1991[ 525],
90D-imo,http://wals.info/languoid/lect/wals_code_imo,90D,90,Internally-headed or RelN,Seiler-1985[ 65-66],
90D-mar,http://wals.info/languoid/lect/wals_code_mar,90D,90,Internally-headed or NRel,Gordon-1986[ 250-265],
90D-kut,http://wals.info/languoid/lect/wals_code_kut,90D,90,Internally-headed relative clause dominant,,
